Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Spain,13804.8767869937,14811.9028194881,16112.1889152156,13339.908563675,13415.2870010456,15471.962716535,16109.0843985284,14730.7971752046,15394.3514628249,15715.3322713275,14713.0657111519,15355.7031663439,17025.5319828692,21463.4426577449,24861.2827964413,26419.2968638221,28365.3134896346,32549.9709785513,35366.2596011983,32042.4740786617,30502.7197080776,31636.4463142558,28324.4293363918,29059.5479522321,29461.5503337389,25732.0183647454,26505.3432155204,28100.5862419453,30349.7520984361
Estonia,,,,,,3134.38975345407,3380.92630243199,3682.95230146695,4093.39247738765,4140.93660232167,4070.60902410208,4505.85833233188,5341.62894677002,7203.52303786646,8914.10355674451,10412.6443137966,12639.4000677296,16744.5844516343,18204.9664786762,14711.7352728223,14663.0446126465,17464.9200795794,17404.2008024604,19050.5859209,20234.1174174704,17395.040616214,18282.9233927131,20387.2831474612,23052.3012559586
Ethiopia,254.243262202821,271.394373532612,204.050181513175,165.693228041524,125.549581258108,134.34296024645,145.16690126181,141.508619901766,125.076141078992,119.684076349153,124.460790874921,120.765783730897,111.927225125,119.49039595567,136.466250038215,162.43272862793,194.687432935553,244.286052292978,326.436822761984,380.569003212934,341.554122699663,354.4795719088,467.07787183328,499.531530164228,566.92640288853,640.541923075422,717.124869806118,768.523015429372,771.524866349431
Finland,28364.6450765922,25484.7392935746,22319.059460246,17608.8123902264,20301.333085866,26271.5998141691,25783.4504878611,24691.8728133698,26009.2694886182,26177.3479836441,24285.4668205162,24946.1891891404,26869.6749036293,32855.1326287803,37702.8453762641,39040.2888825052,41188.0936997302,48414.8450929722,53554.0389224673,47293.9928335042,46459.9732548543,51081.9976703127,47710.7902169415,49878.0432444536,50260.2998588958,42784.6983616432,43784.2839622098,46297.4963459994,49964.4999098426
France,21793.8355375183,21675.0649888267,23813.7122463577,22380.1077483221,23496.5201538685,26890.2176223614,26871.8312674776,24228.9463914211,24974.2738587988,24673.2030476111,22364.0293943406,22433.5549829528,24177.3355586498,29568.3887998673,33741.2619183406,34760.1850154731,36443.6263055433,41508.4326882318,45334.117956922,41575.4219609625,40638.3352541414,43790.7260166781,40874.7003927338,42592.9353850549,43011.2631028417,36638.184929157,37037.3741861219,38685.2584944953,41572.4850099629
Gabon,6268.91800765744,5536.9983725291,5578.03855532363,4252.06534768253,3963.87929654385,4570.57130354061,5116.19662519022,4667.19312084114,3831.78066770816,3888.87946722118,4135.99238007722,3993.03133624881,4141.43436559775,4933.46216999793,5739.61320363785,6891.36192038265,7221.36987650987,8458.3091787108,10254.1719573595,7721.01895290081,8849.32260799167,10809.6849503904,9813.50574650818,9683.58161951252,9663.42411002585,7384.70070393071,6984.41971208387,7230.43491161979,7959.00726736376
United Kingdom,19095.4669984608,19900.7266505069,20487.1707852878,18389.0195675099,19709.2380983653,23206.5685593776,24438.531169209,26742.9848472166,28269.322509823,28726.8572106345,28223.0675706515,27806.4488245133,30049.8963232066,34487.4675722539,40371.7108259838,42132.0907219815,44654.0969208924,50653.2569148306,47549.3486286006,38952.2110262455,39688.6149684498,42284.8844902996,42686.8000524926,43713.8141242308,47787.2412984884,45404.5677734722,41499.5557033073,40857.7555829627,43646.9519711493
Ghana,398.637081088931,433.773264764704,409.746389786379,370.419454924392,328.744526865007,379.987984916879,397.135754957028,384.7963283302,407.523237017857,410.334011559612,258.471039929679,269.014984764581,304.564635977066,367.821362113662,417.508066727662,492.54405617264,913.393849309942,1081.16631826269,1217.06443549146,1077.66205832571,1299.34521164062,1549.46271883345,1587.56093185809,2361.09032388366,2012.26424719728,1774.07477092508,1971.95693464599,2074.29073272269,2260.86056729337
Guinea,419.809870822721,461.375312462986,489.07160407065,475.426316994835,477.762459236542,508.101516144618,518.365662598199,493.82216135084,456.491484139533,429.719692321206,363.482279266615,336.154020658897,343.602631207699,393.739689850048,407.300975937447,322.415540033465,453.403713310942,659.992930975674,715.096526700444,674.085482596146,672.424930359396,651.136113367998,717.050535937992,769.003166697833,787.238564407157,769.255475432822,732.291511901662,855.575270552124,955.111281136711
Equatorial Guinea,267.468072913182,256.226335758553,301.177108978134,294.07050485754,210.409543359359,285.552548185098,450.646002349081,824.551083073221,663.724751327361,1067.64395532303,1725.55758427978,2313.16593689273,2744.19148324865,3618.54447564811,6152.13123760173,10963.4063784924,12857.3688248227,15908.4111920336,22942.6101005186,16668.1216976014,17288.84259775,21641.6938980227,21711.1515946043,20390.737273789,19394.0806626191,11283.3980543871,9250.31649333951,9667.8578009346,10005.6167917268
Greece,9600.18523506603,10188.3697801238,11176.4584190614,10401.9830146096,11091.2838472779,12959.3242908115,13749.1151120679,13427.8325055002,13472.1376092623,13245.1894436119,12042.9537140472,12538.1788690276,14110.3133652111,18477.5783602862,21955.1041364941,22551.7357667365,24801.1577837357,28827.3263926878,31997.2820241039,29710.970232488,26690.6074159782,25450.5341194438,21914.2517286273,21781.5953472612,21587.9575508932,18076.6067552915,17911.7993774946,18536.1907178433,19747.3425837935
Guatemala,845.306962105181,1011.75496628105,1093.96290835701,1164.374025081,1293.47019794619,1424.68254256258,1487.60765839974,1649.00160206099,1755.84958223191,1619.51073552531,1664.29895827045,1550.36036555447,1682.99450068936,1737.87928692973,1859.098363351,2068.50012859333,2251.08796275499,2490.74912665208,2802.46196190125,2651.81712283814,2852.54732650116,3228.0457411296,3355.03691881272,3522.77370621475,3779.64233613025,3994.63691288475,4173.30166619474,4454.04814983548,4478.42464550944
Guyana,533.538358752841,468.158310884238,499.031709342303,602.143872947472,712.712854200065,816.5354249131,927.188583380544,988.341316751264,951.91247710807,926.740336169619,954.400318095334,955.665380611907,974.949193282042,997.211372858551,1056.42388561094,1105.50682477118,3188.67316016589,3658.47996657813,4050.78623700136,4233.76614276173,4580.69876204788,4908.56644826434,5378.81087848265,5489.14072551384,5407.14736611728,5576.82585151355,5811.39792362577,6124.95366998759,6145.81927664377
Honduras,993.48325319337,911.754981582674,942.6129447197,913.301631344466,836.602381837512,936.667654324264,887.69261230849,948.954770228598,1023.46073380734,1002.71692187708,1080.51047183846,1120.5499603312,1122.08860037103,1145.49794612385,1204.47982560326,1296.69478359222,1420.13439576879,1572.06488754886,1727.79368172882,1777.27280187503,1891.15858933835,2073.90437014256,2129.52143871807,2088.09720593332,2190.6531391773,2286.20303687333,2326.29727827042,2436.6716359867,2492.86896769136
Croatia,,,,,,4917.08537059594,5283.00500546246,5312.36950212048,5691.10951979777,5246.93596823875,4887.71371564115,5412.92513590593,6293.22529907248,8129.79458409902,9747.44077059414,10621.507456753,11797.4744733882,14046.3168101588,16416.5868076948,14653.0435549819,14067.5231191915,14757.1803401768,13401.6566203283,13837.7316376587,13762.3728630599,11933.3773788281,12527.7398569824,13629.289592247,15227.5600968096
Haiti,439.944188015911,483.873635417995,308.37139743645,251.752887677523,285.118853846182,363.265544505251,368.631863799103,415.770742131053,455.541896058048,499.302968654216,805.025632473004,735.521117948839,692.030162929914,542.333596073937,667.282546430327,781.276657785884,804.524511910761,1002.88848691754,1086.93819183192,1183.60485420762,1191.97266373335,1287.95465003201,1337.33594561281,1432.83761766692,1435.13647023104,1386.85419078846,1290.38050812318,1369.06373395137,1479.3458268885
Hungary,,3350.25832349229,3735.10582034276,3873.98772279767,4173.37302405441,4494.70762405948,4525.03910312241,4596.18262235195,4744.21226429639,4793.47852203763,4624.28165670295,5276.03318905496,6655.33300865319,8421.10331316153,10303.704193626,11225.9325815328,11493.1004118789,13944.9710132004,15777.1920232033,13081.7926445778,13223.0830027699,14240.2575010219,12989.1802815896,13719.9505393621,14298.833667395,12720.7120220668,13107.3779137744,14623.6966492311,16427.3727611478
Indonesia,585.076562851392,631.782857820316,681.938385611901,827.90526623892,912.203293895825,1026.39343607504,1137.41010116628,1063.71237573753,463.948158190899,671.098609676196,780.19020467518,748.257608719846,900.177588137897,1065.6485199064,1150.26136651088,1263.28733171098,1589.80148866142,1860.00281113287,2166.85423141608,2261.24730903274,3122.36267319362,3643.04717619274,3694.35933980214,3623.92724054274,3491.63749125449,3331.69511469189,3562.81633352183,3837.57802362633,3893.85957814877
India,367.55660889031,303.055607722879,316.953927198178,301.159002272177,346.102951420647,373.76648078334,399.950074728286,415.493797812017,413.29893221522,441.998760444983,443.314193811316,451.572997293746,470.986786810734,546.726613494985,627.774241726543,714.8610153644,806.753280628799,1028.33477194577,998.522341514181,1101.96083821252,1357.5637268318,1458.10406619579,1443.88243476138,1449.61045069641,1573.88564182956,1605.60544457087,1732.55424231659,1980.66701982802,1996.91508739789
